label,region
1,Area 3b (PostCG) right
2,Area hOc4la (LOC) right
3,Area PF (IPL) right
4,Area CoS1 (CoS) right
5,Astr (Amygdala) right
6,Area Id8 (Insula) right
7,Area SFG4 (SFG) right
8,Area 1 (PostCG) right
9,"Po (Thalamus, posterior Nucleus) right"
10,Area Te 1.0 (HESCHL) right
11,Area STS2 (STS) right
12,"LD (Thalamus, lateral dorsal Nucleus) right"
13,"Area 6mp (SMA, mesial SFG) right"
14,Area Id3 (Insula) right
15,"ZI (Thalamus, zona incerta) right"
16,CGM (Metathalamus) right
17,"Area PirTB (PiriformCortexMesial, temporobasal) right"
18,"NRp (Midbrain, Nucleus Ruber, parvocellular part) right"
19,Area PFt (IPL) right
20,Area p24ab (pACC) right
21,Area TI (STG) right
22,Area FG5 (FusG) right
23,"PUm (Thalamus, medial pulvinar) right"
24,"PUi (Thalamus, inferior pulvinar) right"
25,Area Te 3 (STG) right
26,Area MFG1 (MFG) right
27,Frontal-to-Occipital (GapMap) right
28,Area 7P (SPL) right
29,Area 6r1 (PreCG) right
30,Area 6d1 (PreCG) right
31,"VA (Thalamus, ventral anterior Nucleus (ventral)) right"
32,Area hIP4 (IPS) right
33,Area Op6 (Frontal Operculum) right
34,Area FG2 (FusG) right
35,Area hIP6 (IPS) right
36,Area Fo5 (OFC) right
37,"Area TPJ (STG, SMG) right"
38,"BST (Basal Forebrain, Bed Nucleus) right"
39,"AM (Thalamus, anteromedial Nucleus) right"
40,Area Op7 (Frontal Operculum) right
41,Area hOc6 (POS) right
42,Area Ia3 (Insula) right
43,Area Ig2 (Insula) right
44,CA2 (Hippocampus) right
45,"VLP (Thalamus, ventral lateral posterior Nucleus) right"
46,Area Fp2 (FPole) right
47,"Li (Thalamus, limitans Nucleus) right"
48,"Area EC (Hippocampal Region, Entorhinal Cortex) right"
49,Area Id4 (Insula) right
50,Area Op1 (POperc) right
51,"Tu (Basal Forebrain, Tuberculum) right"
